current_week_value,update_dt,source,last_week_value,datadate,product_name
5.3,2018-06-07 15:45:22,http://www.ccf.com.cn/newscenter/detail-160000-2017022400390.shtml,4.1,2017-02-24,上海及嘉兴
35.2,2018-06-07 15:45:22,http://www.ccf.com.cn/newscenter/detail-160000-2017022400390.shtml,31.6,2017-02-24,张家港
12.4,2018-06-07 15:45:22,http://www.ccf.com.cn/newscenter/detail-160000-2017022400390.shtml,10.6,2017-02-24,太仓及常熟
3.2,2018-06-07 15:45:22,http://www.ccf.com.cn/newscenter/detail-160000-2017022400390.shtml,4.7,2017-02-24,江阴及常州
63.9,2018-06-07 15:45:22,http://www.ccf.com.cn/newscenter/detail-160000-2017022400390.shtml,59.8,2017-02-24,总和
8.4,2018-06-07 15:45:26,http://www.ccf.com.cn/newscenter/detail-160000-2017030300422.shtml,7.8,2017-03-03,宁波
3.6,2018-06-07 15:45:26,http://www.ccf.com.cn/newscenter/detail-160000-2017030300422.shtml,5.3,2017-03-03,上海及嘉兴
35.4,2018-06-07 15:45:26,http://www.ccf.com.cn/newscenter/detail-160000-2017030300422.shtml,35.2,2017-03-03,张家港
15,2018-06-07 15:45:26,http://www.ccf.com.cn/newscenter/detail-160000-2017030300422.shtml,12.4,2017-03-03,太仓及常熟
3.2,2018-06-07 15:45:26,http://www.ccf.com.cn/newscenter/detail-160000-2017030300422.shtml,3.2,2017-03-03,江阴及常州
65.6,2018-06-07 15:45:26,http://www.ccf.com.cn/newscenter/detail-160000-2017030300422.shtml,63.9,2017-03-03,总和
